timestamp,occupation,status,domain,count
2020-04-23,Sales and marketing support,new,ru,80
2020-04-23,Software development and technology,new,es,162
2020-04-23,Software development and technology,new,ph,4
2020-04-23,Software development and technology,new,ru,379
2020-04-23,Writing and translation,new,es,21
2020-04-23,Writing and translation,new,ph,29
2020-04-23,Writing and translation,new,ru,77
2020-04-24,Clerical and data entry,new,es,10
2020-04-24,Clerical and data entry,new,ph,108
2020-04-24,Clerical and data entry,new,ru,14
2020-04-24,Creative and multimedia,new,es,64
2020-04-24,Creative and multimedia,new,ph,31
2020-04-24,Creative and multimedia,new,ru,252
2020-04-24,Professional services,new,es,2
2020-04-24,Professional services,new,ru,23
2020-04-24,Sales and marketing support,new,es,11
2020-04-24,Sales and marketing support,new,ph,142
2020-04-24,Sales and marketing support,new,ru,79
2020-04-24,Software development and technology,new,es,138
2020-04-24,Software development and technology,new,ph,3
2020-04-24,Software development and technology,new,ru,389
2020-04-24,Writing and translation,new,es,28
2020-04-24,Writing and translation,new,ph,35
2020-04-24,Writing and translation,new,ru,64
2020-04-25,Clerical and data entry,new,es,6
2020-04-25,Clerical and data entry,new,ph,79
2020-04-25,Clerical and data entry,new,ru,15
2020-04-25,Creative and multimedia,new,es,62
2020-04-25,Creative and multimedia,new,ph,20
2020-04-25,Creative and multimedia,new,ru,229
2020-04-25,Professional services,new,ru,23
2020-04-25,Sales and marketing support,new,es,8
2020-04-25,Sales and marketing support,new,ph,135
2020-04-25,Sales and marketing support,new,ru,110
2020-04-25,Software development and technology,new,es,167
2020-04-25,Software development and technology,new,ph,5
2020-04-25,Software development and technology,new,ru,357
2020-04-25,Writing and translation,new,es,28
2020-04-25,Writing and translation,new,ph,30
2020-04-25,Writing and translation,new,ru,61
2020-04-26,Clerical and data entry,new,es,6
2020-04-26,Clerical and data entry,new,ph,71
2020-04-26,Clerical and data entry,new,ru,7
2020-04-26,Creative and multimedia,new,es,51
2020-04-26,Creative and multimedia,new,ph,28
2020-04-26,Creative and multimedia,new,ru,188
2020-04-26,Professional services,new,ru,20
2020-04-26,Sales and marketing support,new,es,7
2020-04-26,Sales and marketing support,new,ph,120
2020-04-26,Sales and marketing support,new,ru,67
2020-04-26,Software development and technology,new,es,149
2020-04-26,Software development and technology,new,ph,3
2020-04-26,Software development and technology,new,ru,307
2020-04-26,Writing and translation,new,es,22
2020-04-26,Writing and translation,new,ph,27
2020-04-26,Writing and translation,new,ru,49
2020-04-27,Clerical and data entry,new,es,3
2020-04-27,Clerical and data entry,new,ph,70
2020-04-27,Clerical and data entry,new,ru,11
2020-04-27,Creative and multimedia,new,es,53
2020-04-27,Creative and multimedia,new,ph,24
2020-04-27,Creative and multimedia,new,ru,170
2020-04-27,Professional services,new,es,3
2020-04-27,Professional services,new,ru,15
